n_topic,seed_a,seed_b,iter_a,iter_b,passes_a,passes_b,mean,median,min,max,std,mad,corpus
10,472,473,50,100,3,4,0.575855097,0.571428571,0.42519685,0.765432099,0.067610114,0.0676643,5
10,474,475,50,100,3,4,0.590170975,0.601398601,0.360655738,0.75,0.070148899,0.083499319,5
10,476,477,50,100,3,4,0.581250596,0.58655479,0.42519685,0.765432099,0.06757103,0.064614965,5
10,478,479,50,100,3,4,0.564922993,0.561151079,0.360655738,0.742138365,0.06760994,0.063207034,5
10,480,481,50,100,3,4,0.604870971,0.601398601,0.4,0.816568047,0.082152672,0.072591069,5
10,482,483,50,100,3,4,0.569129929,0.571428571,0.360655738,0.742138365,0.061223553,0.058833333,5
10,484,485,50,100,3,4,0.576775581,0.581560284,0.4,0.717948718,0.058285769,0.059707022,5
10,486,487,50,100,3,4,0.583097749,0.591549296,0.42519685,0.757763975,0.066979999,0.071026157,5
10,488,489,50,100,3,4,0.578658306,0.576494428,0.360655738,0.816568047,0.073718,0.065523844,5
10,490,491,50,100,3,4,0.579861317,0.58655479,0.412698413,0.701298701,0.064622551,0.068805693,5
10,492,493,50,100,3,4,0.59643047,0.601398601,0.4375,0.742138365,0.06599508,0.07005292,5
10,494,495,50,100,3,4,0.594243143,0.591549296,0.4,0.773006135,0.074254392,0.076210548,5
10,496,497,50,100,3,4,0.583474074,0.581560284,0.461538462,0.75,0.064241306,0.059707022,5
10,498,499,50,100,3,4,0.594663709,0.581560284,0.449612403,0.787878788,0.074205775,0.085835866,5
10,500,501,50,100,3,4,0.57314918,0.571428571,0.449612403,0.787878788,0.063094057,0.046379562,5
10,502,503,50,100,3,4,0.586468645,0.591549296,0.412698413,0.773006135,0.068133725,0.071026157,5
10,504,505,50,100,3,4,0.598668618,0.596473949,0.412698413,0.80952381,0.070881803,0.067827928,5
10,506,507,50,100,3,4,0.565355748,0.566289825,0.42519685,0.72611465,0.057995401,0.054675413,5
10,508,509,50,100,3,4,0.580522402,0.581560284,0.4375,0.75,0.060109228,0.061400839,5
10,510,511,50,100,3,4,0.589225269,0.591549296,0.412698413,0.709677419,0.063396332,0.071026157,5
10,512,513,50,100,3,4,0.55634072,0.561151079,0.42519685,0.692810458,0.05499398,0.059670977,5
10,514,515,50,100,3,4,0.585237644,0.581560284,0.37398374,0.765432099,0.060562384,0.045716929,5
10,516,517,50,100,3,4,0.570494515,0.571428571,0.412698413,0.734177215,0.058134388,0.060563725,5
10,518,519,50,100,3,4,0.57698017,0.571428571,0.42519685,0.757763975,0.068616919,0.062294118,5
10,520,521,50,100,3,4,0.575112461,0.571428571,0.4375,0.742138365,0.07121588,0.075739464,5
10,522,523,50,100,3,4,0.582972411,0.58655479,0.4375,0.757763975,0.062910829,0.068805693,5
10,524,525,50,100,3,4,0.599445982,0.601398601,0.360655738,0.765432099,0.071477505,0.07005292,5
10,526,527,50,100,3,4,0.596250777,0.601398601,0.305084746,0.72611465,0.072935832,0.075129219,5
10,528,529,50,100,3,4,0.57681134,0.571428571,0.4375,0.80239521,0.063724898,0.058833333,5
10,530,531,50,100,3,4,0.560143132,0.561151079,0.4,0.80952381,0.065736437,0.059670977,5
